"Action","Action"
"Add Look","Add Look"
"An error occurred while updating the looks.","An error occurred while updating the looks."
"Are you sure?","Are you sure?"
"Associated categories","Associated categories"
"Associated products","Associated products"
"CSV","CSV"
"Change status","Change status"
"Could not find look to delete.","Could not find look to delete."
"Created at","Created at"
"Custom or External Link","Custom or External Link"
"Delete Look","Delete Look"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Look '%s'","Edit Look '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving look","Error saving look"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Image","Image"
"Link","Link"
"Look was saved","Look was saved"
"Look was successfully deleted.","Look was successfully deleted."
"Look was successfully saved","Look was successfully saved"
"Look","Look"
"Looks","Looks"
"No","No"
"None","None"
"Please Enter Short Description of Image","Please Enter Short Description of Image"
"Please Select Image","Please Select Image"
"Please select looks to delete.","Please select looks to delete."
"Please select looks.","Please select looks."
"Position","Position"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Look","Save Look"
"Status","Status"
"Store views","Store views"
"The looks has been deleted.","The looks has been deleted."
"There was a problem saving the look.","There was a problem saving the look."
"There was an error deleting look.","There was an error deleting look."
"There was an error deleting looks.","There was an error deleting looks."
"There was an error updating looks.","There was an error updating looks."
"This look no longer exists.","This look no longer exists."
"Total of %d looks were successfully deleted.","Total of %d looks were successfully deleted."
"Total of %d looks were successfully updated.","Total of %d looks were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find look to save.","Unable to find look to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"